muong,viet,mu_sentence,vi_sentence
a chi,"chi, đâu",Ho chăng lễ a chi.,Tôi không lấy chỉ đâu.
a chi,"chi, đâu",Chăng tau a chi.,Không đau đâu.
a cỏ,có (dùng làm tiếng đệm),,
a máy,"nhưng, nhưng mà",Môch khảng a máy thày bảng năm đã.,Một tháng nhưng mà lâu bằng nửa năm đấy.
a ơi,"à ơi, ò ơi",(chỉ dùng trong mo để kết một khúc diễn xướng).,
a ôi,à ơi,(chỉ dùng trong mo để hết thúc một khúc diễn xướng).,
à,à,Ủn mởi tiếnh ni à?.,Em mới đến đây à?
à,"chi, đâu",Chăng tau à chỉ.,Không đau đâu.
à,à,"À hay dửa, cải ni ho i ưa.","À hay nhỉ, cát này tôi cũng thích."
à,"cậu, mày, bạn, u.u... (ngôi thứ hơi)",À Phúc ơil.,Bạn Phúc ơi!
à,"cậu, mày, bạn, u.u... (ngôi thứ hơi)",À Phúc nả ti chỡ. Cứi Phúc nó đi chợ.,
à pữa,hay sao,"Ho pỗ pổl dỗng, mé da tướng là hong à pữa?.","Tớ nói đùa, nhưng cậu tưởng thật hay sao?"
ả,cây mua,Đố ả đớ.,Thấy hoa mua nở.
ả,cây mua,Pé kènh lả ả tha ngồi.,Bẻ cành lá mua lót để ngôi.
á,đấy,Ni á?.,Đây á?
á,"thôi, mà, đấy thôi, đấy mà",Ho lê á!,Tôi lấy đấy mà!
á,"thôi, mà, đấy thôi, đấy mà",ăn cơm đếp á.,ăn cơm nếp thôi.
á chua cỏ,nhưng (mà) chưa có,Hảo ăn á me cơm chua cỏ.,Muốn ăn cơm nhưng chưa có.
á mãi,"cô, đ, cô gái, con gái",Á mãi mường Pi.,Cô gái mường Bi.
á máy,nhưng mà,Hảo ăn cả á máy chua cổ (cả).,Muốn ăn cá nhưng mà chưa có (cú).
á máy,nhưng mà,Xấu măt á máy chăt lòng. Xấu mặt nhưng mà chặt lòng; người tuy không đẹp về hình thức nhưng tốt bụng.,
á mé,nhưng mà,"Nả nhó, á mé nả hăng.","Nó tuy nhỏ, nhưng khoẻ."
á mé,nhưng mà,Ké chiểu á mé hum chiềng.,Tuy riêng chiếu nhưng mà chung giường.
á mơi,đấy.,Qua ti dỗng á mơi.,Chúng tôi đi chơi đây.
á thơi,"thôi mà, đấy thôi, mà thôi.",Ho pỗ pổl dỗng á thơi.,Tớnói đùa thôi mà.
ác,quạ.,Con ác nì lông dầm.,Con quạ này lông màu đen.
ác,ác.,Mõl chi mà ác điênh thỉa?,Người gì mà ác quá như vậy?
ác cám,ác cảm.,Là po mà da cỏ ác cám pỡi nả dòng đỉ?,Làm sao mà anh có ác cảm với nó như vậy
ác liêt,ác liệt.,Hal pên tảnh rà ác liêt.,Hai bên đánh nhau ác liệt.
ác mồm,ác khẩu.,ác mồm ác mẽnh.,Mồm miệng nói toàn điều ác (ác mồm ác miệng).
ác tlỗng,ác tâm.,Mõl chi mà ác tlỗng điênh thỉa?.,Người gì mà ác tâm thế?
ác tôc,ác độc.,"Mễ đỉ, ác tôc lẳm.","Bà ấy, ác độc lắm."
ải,đen.,,
ải,ái.,"Ải, tau lẳm.","Ái, đau quá."
ái,ải.,Tất cằl phái tí cho ái cẩl lõ hơ mới thốch.,Đất cày phải để cho ải thì cấy lúa mới tốt.
aich chà,ái chà.,Aich chà! Cải nì thốc là hong.,Ái chà! Cái này đẹp thật.
ãinh,"dở, hâm, dở hơi.",Mõl đỉ ãinh.,Cô ấy dở (người).
ãinh,"dở, hâm, dở hơi.",Enh đỉ là mõl ãinh.,Anh ấy là con người dở hơi.
ãinh,xấu hổ.,Là dòng đỉ ho măng ãinh lẳm.,Làm như thế mình thấy xấu hổ lắm.
al,không dốc đứng.,Mải nhà nì al.,Mái nhà này không dốc đứng.
ảm đẳng rám nắng.,Ta ho ảm đẳng rồi.,Da tớ rám nắng rồi.,
ản,án (tù).,Nả phái ản tù hal năm.,Nó bị hai năm tù.
ản,"1. được, thắng.",Khi chẵl pởi pẫu nả ản pẫu.,"Thi chạy với mọi người, nó thường giành phân thắng (được cuộc)."
ản,2. được. Ho tõn ấn đăm tổng.,Tôi nhặt được năm đồng.,
àn,2. được. Ho tõn ấn đăm tổng.,"Ớ miểng nì, chăng ản là ổn ào.","Ở chỗ này, không được làm ồn ào."
ản ăn,1. được ăn.,Ho chua ản ăn cơm.,Tôi chưa được ăn cơm.
ản ăn,2. ăn được.,Tlải nì ản ăn.,Quả này ăn được.
ân cẫy,"được nhờ, được cậy nhờ, được nhờ (và).",Da chỏng cá ti tí qua ản cẫy.,Em lớn nhanh cho ta nhờ.
ản cẫy,"bị đòn, bị ăn đòn, bị đánh đòn.",Chở nhãm mà ản cẫy.,Đừng có khóc mà bị ăn đòn. ản chác được mua; được một cách chắc chắn.
ản đố,thấy.,Enh ản đố cải còng kha ớ no chăng.,Anh có thấy cái còng vợt ở đâu không?
ản hay,"được biết, được hay.",Pỗ pĩ tí da ản hay.,Nói thế cho anh được biết.
ản hùa,cảm ơn.,Da là wiêc dúp ho à? Ản hùa da nỡ.,Cậu làm (việc) giúp tớ à? Cảm ơn cậu nhé.
ản kểl,để gối (đầu).,Là kềl tí ản kểl tlốc.,Làm gối để gối đầu.
ản mãng,án mạng.,Ngày hơ ớ mường nõ cỏ ản mãng.,Hôm kia ở mường nọ có án mạng.
ản mùa,được mùa.,Năm nay tàn tôi ản mùa.,Năm nay chúng tôi được mùa.
ân mũi,hắt (xì) hơi,"Chăng mắt ông ay dắc tiếnh miềnh, mà ản mũi mãi. Không biết ai nhắc đến tôi mà cứ hắt hơi suốt.",
ản ngõ,"để được xem, để được nhìn thấy, trông thấy",Da mủa thốch ti qua ản ngỏ.,Cô múa đẹp vào để cho chúng tôi xem.
ản ỏng,để (được) uống,Lễ đác lãi ni tí cho pổ ản ông.,Lấy nước lại đây để cho bố uống.
ản ớ,để (được) ở,Là nhà thốch tí ha ấn ớ.,Làm nhà đẹp để ta ở.
ản pỉ,"được thế, được uậy (được như thế)","Mong po, ẳn pì.",Mong sao được vậy.
ản tam,được gánh; nặng gúnh,"Lõ xẩu, ản tam mé chăng ản hot.",Lúa xấu gánh thì nặng nhưng ít họt.
ản thiểng,được lời,Ản thiểng nhơ bớ tlỗng bớ lằng.,Được lời như cởi tấm lòng.
ản tiởng,để trứng,Con ca nì án tiởng tà khênh pa chuc tlải rồi mà cử còn ản.,Con gà này đẻ đã gân ba chục trứng rồi mà vẫn còn đề.
ang,ang,Cải ang nì pằng khènh.,Cái ang này bằng sành.
ang,ang,Pơng ang đác tha tí ha thứa thay.,Bưng cái ang nước ra đây để ta rửa tay.
ảng,"bãi, nơi",Ảng tlu.,Bãi chăn trâu.
ảng,"bãi, nơi",ảng nhúc.,"Nơi phơ thịt, bày thịt (sơu khi thịt trâu, lợn, bò)."
ảng,đường,Ảng khả.,Đường đi.
ảng chầu,sân chẩu,Kinh vua nò i cỏ ảng chầu.,Kinh vua nào cũng có sân chầu.
ảng dỗng,"sân chơi, bãi chơi, nơi chơi","Ti miểng khác, ni chăng phái ảng dỗng.",Đi chỗ khác đây không phải sân chơi.
ảng hỗi,"nơi tự tập để vui vẻ, hội hè",,
ảng khả,đường đi,"Tôi hảo ti wềl Hoà Bình, ti ảng khả nò ông là ơn chí đủm cổng.",Tôi muốn đến Hoà Bình thì phải đi đường nào nhờ ông chỉ giúp.
ảng khênh chầu,"bãi, sân, nơi để chầu gặp vua quan",,
ảng liễn,áng liễn (một nơi ở trên trời theo tưởng tượng của dân Mường),,
ảng mãi,"nơi, chỗ có thể tỏ tình với các cô gái",,
ảng rão,nơi tụ tập để uống rượu,Ầm ầm nhơ ảng rảo.,Ồn ào như nơi đang uống rượu.
ảng tàu păl,sân bay,Nả tõn àn cải nì ớ ảng tàu păl. Nó nhặt được cái này ở sân bay.,
ảng tlò,bấi điền trò,Pui hay nhơ ảng tò.,Vui hay như nơi diễn trò.
ảng túc củ,"bãi, sân cho lợn ăn",Pổ tang ớ tlong ảng túc củi.,Bố đang ở chỗ cho lợn ăn.
anh dũng,anh dũng,Nả chít môch cách anh dũng lẳm.,Anh ấy chết rất anh dũng.
anh hùng,anh hùng,Enh Tình ản phong anh hùng lao đỗng.,Anh Tình được phong anh hùng lao động.
anh tão,anh tạo (một chức trong bản mường tương đương trưởng xóm trong chế độ nhà Lang Mường),,
ao,ao,Tâm ao hắc đần.,Đầm ao cạn đần.
ao,ao,Lễ tẩu là ao tí chia lõ cho rà.,Lấy đấu ao để chia thóc cho nhau.
ao lâm,ao chuôm,Mưa cá đác ngâp hết ao lâm.,Mưa lớn nước ngập ao chuôm.
ào ào,ào ào,Đác cháy ào ào.,Nước chảy òo ào.
ảo,áo,Ho hảo mua môch cải ảo.,Tôi muốn mua một chiếc áo.
ảo cá thay,áo thụng,Ho măc ảo cá thay nì thốch chăng?.,Tớ mặc áo thụng này đẹp không cậu?
ảo bóc,áo vóc,"Ảo bóc là đồ khang, pac vàng là cúa dàu.","Áo vóc là đồ sang, vàng bạc là của giàu."
ảo chùng,đo dài,Ngày lễ ngày thết pẫu mặc ảo chùng.,Ngày lễ ngày tết người ta mặc áo dài.
